Year,Median houselhold income,,,,,,,,,,
1968,7005,,,,,,,,,,
1969,7683,,,,,,,,,,
1970,8330,,,,,,,,,,
1971,8700,,,,,,,,,,
1972,9000,,,,,,,,,,
1973,9648,,,,,,,,,,
1974,10378,,,,,,,,,,
1975,11000,,,,,,,,,,
1976,11700,,,,,,,,,,
1977,12604,,,,,,,,,,
1978,13500,,,,,,,,,,
1979,15000,,,,,,,,,,
1980,16400,,,,,,,,,,
1981,17666,,,,,,,,,,
1982,19000,,,,,,,,,,
1983,20000,,,,,,,,,,
1984,20687,,,,,,,,,,
1985,22260,,,,,,,,,,
1986,23530,,,,,,,,,,
1987,24744,,,,,,,,,,
1988,25900,,,,,,,,,,
1989,27050,,,,,,,,,,
1990,28838,,,,,,,,,,
1991,29834,,,,,,,,,,
1992,30000,,,,,,,,,,
1993,30439,,,,,,,,,,
1994,31000,,,,,,,,,,
1995,32140,,,,,,,,,,
1996,34000,,,,,,,,,,
1997,35172,,,,,,,,,,
1998,36928,,,,,,,,,,
1999,38816,,,,,,,,,,
2000,40551,,,,,,,,,,
2001,42000,,,,,,,,,,
2002,42125,,,,,,,,,,
2003,42381,,,,,,,,,,
2004,43160,,,,,,,,,,
2005,44097,,,,,,,,,,
2006,46001,,,,,,,,,,
2007,48020,,,,,,,,,,
2008,50000,,,,,,,,,,
2009,50000,,,,,,,,,,
2010,49578,,,,,,,,,,
2011,49100,,,,,,,,,,
2012,50000,,,,,,,,,,
2013,50306,,,,,,,,,,
2014,53568,,,,,,,,,,
2015,53600,,,,,,,,,,
2016,56025,,,,,,,,,,
2017,58849,,,,,,,,,,
2018,60810,,,,,,,,,,
2019,63030,,,,,,,,,,
2020,68400,,,,,,,,,,